GPA,No_of_Projects,Internship_Experience,Problem_Solving_Skill,Hackathon_Participation,Communication_Skills,Leadership,Skill_Python,Skill_Java,Skill_SQL,Skill_Design,Preferred_Tech_Track,Career_Path
8.04,2,3,Excellent,0,Poor,Good,0,1,1,0,Data,Data Scientist
7.15,6,0,Poor,2,Average,Average,1,0,1,0,Web Dev,Cybersecurity Analyst
7.67,6,1,Average,2,Average,Average,0,0,0,0,AI,Data Scientist
8.07,2,2,Poor,3,Average,Average,1,0,0,0,UI/UX,Cybersecurity Analyst
7.31,3,0,Average,3,Average,Poor,0,0,1,1,Data,Data Scientist
8.23,3,0,Good,2,Poor,Good,0,0,1,0,Cyber,Cybersecurity Analyst
7.64,5,0,Good,2,Average,Excellent,1,0,1,1,Data,Data Scientist
7.82,1,3,Average,1,Poor,Good,0,0,1,1,Data,ML Engineer
7.64,5,2,Good,3,Good,Average,0,0,1,0,Web Dev,Data Scientist
9.11,1,2,Poor,3,Average,Poor,0,1,1,0,Cyber,Cybersecurity Analyst
7.99,6,1,Good,1,Average,Average,0,1,1,0,AI,Data Scientist
7.37,2,2,Excellent,0,Excellent,Good,0,0,1,0,AI,Data Scientist
8.49,6,2,Average,3,Good,Average,1,1,0,0,Data,ML Engineer
7.27,0,0,Good,3,Poor,Good,1,0,0,0,Data,Cybersecurity Analyst
8.13,3,1,Average,0,Excellent,Average,0,0,0,1,UI/UX,ML Engineer
6.82,1,2,Poor,3,Average,Good,1,1,0,1,Cyber,Cybersecurity Analyst
7.2,5,3,Average,3,Poor,Average,1,0,1,1,Data,Cybersecurity Analyst
8.12,2,2,Good,0,Good,Average,1,0,0,1,UI/UX,Data Scientist
8.44,1,0,Good,0,Good,Good,0,0,1,0,Cyber,Data Scientist
8.1,5,3,Poor,2,Average,Average,0,0,0,0,AI,Cybersecurity Analyst
7.93,3,0,Good,1,Average,Poor,0,0,1,1,UI/UX,Software Engineer
7.82,6,2,Good,1,Good,Good,1,0,1,1,Cyber,Data Scientist
7.11,3,3,Good,0,Average,Good,1,0,0,1,UI/UX,Software Engineer
7.57,4,1,Good,0,Excellent,Good,0,1,0,0,Data,Software Engineer
7.72,0,1,Good,3,Average,Average,0,1,1,0,Web Dev,Data Scientist
8.63,4,3,Poor,2,Excellent,Average,1,0,1,0,AI,ML Engineer
8.21,2,3,Average,2,Good,Average,1,1,1,1,Data,UI/UX Designer
6.94,1,0,Excellent,0,Good,Poor,0,0,0,1,Data,Cybersecurity Analyst
8.19,2,3,Average,3,Good,Excellent,1,0,0,0,Cyber,Cybersecurity Analyst
7.77,6,0,Excellent,3,Good,Good,1,0,1,0,UI/UX,Data Scientist
7.59,5,2,Good,1,Average,Average,1,0,0,1,AI,Data Scientist
8.37,3,0,Poor,1,Average,Good,1,1,1,1,Data,UI/UX Designer
8.62,4,3,Poor,3,Average,Average,1,1,0,0,Cyber,ML Engineer
8.56,4,3,Average,1,Excellent,Excellent,1,1,0,1,AI,ML Engineer
7.5,6,2,Excellent,0,Good,Poor,1,1,0,0,UI/UX,ML Engineer
7.81,4,3,Average,3,Average,Poor,0,0,0,0,Data,ML Engineer
8.2,6,3,Average,1,Poor,Good,0,1,0,1,Data,Cybersecurity Analyst
8.59,2,1,Average,2,Average,Good,1,0,1,1,Data,Software Engineer
7.71,3,1,Poor,3,Good,Good,1,0,1,1,AI,UI/UX Designer
7.89,1,2,Average,3,Average,Poor,1,1,0,0,AI,Data Scientist
7.34,5,0,Poor,2,Good,Average,0,0,1,1,AI,UI/UX Designer
7.28,1,1,Good,0,Excellent,Average,0,1,1,1,AI,Data Scientist
8.49,2,0,Average,2,Average,Average,1,1,0,0,Cyber,Cybersecurity Analyst
8.81,5,3,Average,3,Average,Excellent,0,1,1,0,Web Dev,UI/UX Designer
7.96,4,1,Average,0,Average,Poor,1,1,0,1,Cyber,ML Engineer
8.6,0,2,Average,1,Average,Average,1,1,1,0,Data,Cybersecurity Analyst
8.22,2,2,Excellent,1,Average,Good,1,0,1,0,Cyber,Data Scientist
7.61,2,2,Good,1,Poor,Average,1,1,1,0,UI/UX,Data Scientist
8.22,3,1,Poor,3,Excellent,Good,1,1,1,1,AI,UI/UX Designer
8.92,1,0,Good,2,Average,Good,1,0,1,1,UI/UX,ML Engineer
7.98,2,3,Average,0,Average,Average,1,1,1,0,UI/UX,Cybersecurity Analyst
8.94,2,0,Poor,1,Excellent,Excellent,0,1,1,0,Data,Software Engineer
6.43,4,0,Excellent,0,Good,Good,1,0,0,0,AI,Software Engineer
8.49,4,3,Good,3,Poor,Average,0,0,0,1,UI/UX,Software Engineer
8.05,5,3,Excellent,1,Good,Average,1,1,0,0,Data,ML Engineer
7.82,6,1,Average,3,Average,Average,1,0,0,0,AI,ML Engineer
8.06,6,1,Good,2,Good,Good,0,1,1,1,Web Dev,Data Scientist
6.81,0,1,Average,3,Good,Good,0,0,1,0,Data,ML Engineer
7.87,6,1,Average,3,Good,Good,1,1,1,1,Cyber,UI/UX Designer
8.21,3,1,Good,2,Average,Excellent,0,1,0,1,AI,Software Engineer
8.89,0,3,Average,0,Good,Good,1,1,0,1,UI/UX,UI/UX Designer
7.69,5,0,Good,2,Poor,Good,1,0,0,0,UI/UX,UI/UX Designer
7.51,4,1,Good,2,Average,Average,0,1,1,0,Cyber,Data Scientist
7.7,6,1,Average,3,Average,Good,0,0,0,1,Cyber,Cybersecurity Analyst
8.55,1,0,Good,0,Poor,Poor,0,1,1,0,UI/UX,Software Engineer
8.2,4,1,Good,1,Average,Good,0,1,0,1,AI,Software Engineer
7.68,3,0,Average,2,Good,Average,1,1,1,0,Data,Software Engineer
8.31,4,0,Good,0,Excellent,Poor,0,1,0,1,Cyber,Software Engineer
8.06,3,3,Good,2,Average,Poor,0,1,1,1,Cyber,Data Scientist
8.58,3,2,Average,2,Average,Average,0,0,0,0,Cyber,Cybersecurity Analyst
7.58,3,3,Good,2,Average,Good,0,0,0,0,Web Dev,Software Engineer
7.8,5,2,Excellent,2,Average,Average,0,0,1,0,AI,Data Scientist
7.76,3,2,Average,3,Poor,Good,1,1,1,0,AI,Data Scientist
7.12,3,2,Good,0,Excellent,Average,1,1,0,1,AI,ML Engineer
8.18,1,1,Average,0,Average,Good,0,0,1,1,AI,Cybersecurity Analyst
8.16,0,3,Good,0,Average,Average,0,1,0,0,AI,Software Engineer
8.0,2,2,Good,2,Poor,Poor,1,1,1,0,UI/UX,Data Scientist
7.86,0,0,Average,3,Excellent,Good,0,1,0,1,Cyber,UI/UX Designer
7.15,3,1,Average,2,Good,Average,1,0,1,0,UI/UX,Cybersecurity Analyst
7.75,1,3,Good,2,Excellent,Poor,1,0,0,0,Web Dev,Data Scientist
7.79,4,2,Average,0,Good,Average,0,0,0,0,Data,UI/UX Designer
7.52,1,0,Good,2,Average,Poor,1,0,0,0,Cyber,Cybersecurity Analyst
7.9,3,3,Poor,1,Average,Good,0,0,1,1,Web Dev,Software Engineer
8.24,1,3,Excellent,2,Good,Average,0,1,0,1,UI/UX,Software Engineer
9.13,6,1,Good,1,Average,Good,1,1,1,0,Data,ML Engineer
8.1,1,3,Excellent,2,Good,Good,1,1,1,1,Web Dev,Data Scientist
8.15,3,1,Poor,3,Poor,Average,0,1,1,0,Data,UI/UX Designer
7.96,5,2,Good,3,Poor,Excellent,1,0,0,0,Web Dev,Cybersecurity Analyst
6.85,6,1,Good,0,Good,Good,0,0,1,0,UI/UX,Data Scientist
7.98,1,0,Average,2,Good,Good,1,1,1,1,Data,UI/UX Designer
8.04,2,1,Average,1,Good,Good,1,0,1,1,Web Dev,UI/UX Designer
9.48,2,0,Poor,1,Poor,Good,0,1,0,1,UI/UX,Software Engineer
7.88,1,1,Good,2,Good,Good,0,1,1,1,Cyber,Data Scientist
8.18,5,3,Good,1,Average,Average,0,1,1,1,UI/UX,Data Scientist
7.98,4,2,Poor,3,Poor,Poor,1,1,1,0,UI/UX,ML Engineer
7.3,3,0,Good,1,Average,Poor,0,0,1,0,Cyber,Cybersecurity Analyst
8.69,2,1,Average,0,Average,Average,0,1,0,1,UI/UX,ML Engineer
8.45,4,1,Poor,3,Average,Average,1,0,0,1,Cyber,ML Engineer
8.47,1,1,Excellent,3,Average,Average,1,1,1,1,Cyber,Data Scientist
7.45,4,3,Excellent,3,Average,Poor,0,1,1,0,Cyber,Data Scientist
8.84,6,3,Good,2,Poor,Good,0,1,1,1,Web Dev,Data Scientist
7.16,0,0,Poor,2,Poor,Excellent,0,1,1,0,Data,UI/UX Designer
8.35,2,0,Good,3,Average,Excellent,0,0,0,0,Web Dev,Data Scientist
9.31,1,3,Average,2,Poor,Average,1,1,0,1,Cyber,Cybersecurity Analyst
7.41,3,0,Average,1,Good,Good,1,0,0,0,Data,Data Scientist
7.66,5,2,Average,2,Average,Excellent,0,1,0,0,Data,Data Scientist
8.06,6,2,Good,2,Average,Average,0,1,1,1,Cyber,Data Scientist
7.7,1,3,Good,3,Average,Average,0,1,1,0,Data,Data Scientist
7.07,3,0,Average,0,Good,Excellent,1,0,0,1,Data,UI/UX Designer
8.04,5,1,Good,0,Excellent,Good,0,1,0,0,Web Dev,Software Engineer
7.36,5,2,Excellent,0,Good,Average,0,1,1,1,Data,Data Scientist
8.28,1,3,Average,1,Good,Average,1,1,1,1,Cyber,Cybersecurity Analyst
7.45,6,0,Good,2,Average,Poor,1,1,1,0,AI,Cybersecurity Analyst
8.93,4,3,Excellent,0,Good,Good,0,1,1,1,AI,Data Scientist
7.53,4,1,Average,3,Good,Good,0,0,1,0,AI,UI/UX Designer
7.81,5,2,Average,0,Average,Average,1,0,0,0,Cyber,Cybersecurity Analyst
8.49,4,3,Good,0,Average,Average,0,1,0,1,AI,Software Engineer
7.26,0,3,Good,2,Average,Good,0,1,1,0,Web Dev,Data Scientist
8.14,5,3,Good,2,Excellent,Good,1,0,1,1,Cyber,ML Engineer
8.78,5,1,Average,2,Good,Average,1,1,0,0,Cyber,ML Engineer
7.04,3,3,Excellent,1,Good,Excellent,1,0,1,0,Cyber,Data Scientist
8.11,4,1,Poor,1,Average,Poor,0,1,0,1,Data,Cybersecurity Analyst
8.16,6,1,Poor,0,Average,Average,1,1,0,0,Data,ML Engineer
8.47,5,1,Good,2,Poor,Good,1,0,0,0,Data,ML Engineer
7.26,6,2,Average,0,Average,Average,0,1,0,0,UI/UX,Software Engineer
7.21,0,2,Average,3,Good,Good,0,0,1,0,Web Dev,Data Scientist
8.31,3,3,Average,3,Good,Good,1,0,1,0,Cyber,Cybersecurity Analyst
8.18,1,3,Average,2,Average,Good,1,0,0,0,Cyber,Cybersecurity Analyst
8.15,6,2,Poor,2,Good,Poor,0,1,1,0,Data,Data Scientist
8.21,5,0,Excellent,3,Average,Poor,0,0,1,0,Cyber,Cybersecurity Analyst
7.59,0,2,Average,2,Excellent,Average,1,0,1,1,Cyber,Cybersecurity Analyst
8.14,2,1,Good,1,Average,Good,1,1,1,0,AI,Data Scientist
8.18,0,2,Good,1,Average,Good,0,1,0,0,Cyber,Software Engineer
7.57,0,1,Excellent,2,Average,Good,1,1,1,1,UI/UX,Data Scientist
9.12,3,3,Poor,3,Poor,Good,0,1,0,1,Data,Software Engineer
8.28,1,0,Excellent,0,Poor,Excellent,1,1,0,1,Web Dev,Software Engineer
7.29,2,3,Good,2,Good,Good,0,1,1,0,Web Dev,Data Scientist
8.39,4,1,Good,2,Excellent,Average,0,0,0,1,AI,Cybersecurity Analyst
7.42,4,1,Good,0,Good,Average,1,1,1,1,Web Dev,Data Scientist
8.47,6,1,Good,2,Poor,Good,1,0,1,0,Web Dev,ML Engineer
8.7,0,0,Average,0,Good,Average,0,1,0,0,Data,UI/UX Designer
7.51,3,2,Good,3,Poor,Poor,1,0,1,1,Data,Data Scientist
8.58,3,3,Good,1,Poor,Good,1,0,0,1,UI/UX,Software Engineer
8.25,4,3,Good,3,Good,Good,1,1,0,0,AI,ML Engineer
8.49,6,2,Excellent,1,Good,Poor,0,1,1,0,Web Dev,Data Scientist
9.14,6,3,Average,0,Poor,Good,1,0,1,0,UI/UX,ML Engineer
7.85,6,0,Excellent,1,Poor,Good,1,1,1,0,AI,Software Engineer
7.55,2,3,Poor,3,Excellent,Average,0,1,0,0,Web Dev,ML Engineer
7.47,1,1,Poor,1,Poor,Poor,1,0,1,1,Web Dev,Software Engineer
7.51,2,2,Poor,0,Average,Average,1,0,0,0,Data,ML Engineer
7.95,5,0,Average,1,Good,Good,0,0,0,0,Cyber,Cybersecurity Analyst
8.2,5,2,Good,2,Poor,Good,0,1,1,0,AI,Data Scientist
8.17,1,0,Poor,3,Average,Excellent,1,1,1,0,Web Dev,Cybersecurity Analyst
8.5,4,1,Poor,2,Average,Good,1,1,1,0,AI,ML Engineer
8.01,1,2,Excellent,0,Good,Poor,0,1,0,1,UI/UX,Software Engineer
8.87,3,3,Good,1,Good,Poor,0,0,1,0,UI/UX,Data Scientist
7.84,5,0,Good,2,Good,Good,1,1,0,1,Cyber,UI/UX Designer
9.63,0,2,Excellent,2,Excellent,Average,1,0,1,0,Web Dev,Data Scientist
8.38,0,3,Good,1,Good,Average,1,1,1,1,Data,Data Scientist
7.49,4,2,Poor,1,Average,Average,0,1,0,1,Web Dev,ML Engineer
7.36,3,2,Average,3,Average,Poor,1,0,0,0,AI,ML Engineer
8.29,2,2,Good,2,Good,Average,0,1,1,0,UI/UX,Data Scientist
7.87,3,0,Average,2,Good,Average,0,1,1,0,AI,Cybersecurity Analyst
8.43,0,3,Good,0,Good,Average,0,0,1,0,Cyber,Data Scientist
8.28,0,1,Poor,3,Good,Poor,1,1,1,0,UI/UX,UI/UX Designer
7.96,5,0,Average,0,Poor,Good,1,0,1,1,Data,Software Engineer
7.49,3,0,Good,2,Average,Good,1,0,0,0,UI/UX,ML Engineer
7.09,3,0,Good,0,Average,Average,0,0,0,0,Web Dev,UI/UX Designer
7.73,0,1,Good,2,Poor,Good,1,0,0,1,Web Dev,Data Scientist
8.51,2,3,Good,2,Poor,Average,0,1,0,0,UI/UX,Software Engineer
8.13,4,3,Poor,0,Good,Good,0,1,1,1,Cyber,UI/UX Designer
7.25,6,3,Poor,0,Good,Excellent,0,1,0,0,Web Dev,Cybersecurity Analyst
8.1,4,2,Excellent,1,Average,Good,0,0,0,1,Web Dev,Software Engineer
8.23,3,2,Good,1,Average,Good,0,1,0,0,Data,Software Engineer
7.47,4,2,Poor,1,Average,Poor,0,1,1,1,UI/UX,UI/UX Designer
8.09,0,1,Good,2,Average,Poor,1,1,0,1,Web Dev,Software Engineer
8.03,0,2,Average,0,Good,Excellent,0,1,1,0,Cyber,Data Scientist
7.31,3,1,Average,3,Good,Average,1,0,0,0,AI,Software Engineer
8.21,3,3,Poor,2,Good,Average,0,0,1,0,UI/UX,Data Scientist
8.34,6,2,Good,3,Good,Good,1,1,0,1,Data,ML Engineer
8.65,6,2,Good,0,Good,Good,1,0,1,1,Web Dev,ML Engineer
8.63,5,0,Average,2,Poor,Excellent,1,1,0,1,Cyber,ML Engineer
7.17,3,1,Excellent,3,Average,Average,1,1,1,0,UI/UX,Data Scientist
7.44,2,3,Average,3,Poor,Excellent,0,1,1,0,Cyber,Cybersecurity Analyst
8.31,4,0,Average,1,Excellent,Poor,0,0,0,1,Cyber,Cybersecurity Analyst
8.31,3,0,Average,1,Poor,Poor,0,1,1,0,Data,UI/UX Designer
8.31,1,3,Average,1,Average,Good,0,0,1,1,UI/UX,ML Engineer
10.31,5,0,Poor,2,Excellent,Poor,1,0,0,0,Web Dev,ML Engineer
8.34,1,1,Good,0,Excellent,Average,1,1,0,0,Data,Software Engineer
8.68,0,1,Good,0,Good,Good,1,0,1,1,Web Dev,Data Scientist
8.57,6,2,Good,1,Poor,Average,0,0,0,0,AI,Cybersecurity Analyst
8.39,4,0,Average,1,Poor,Average,1,1,0,0,Cyber,ML Engineer
7.81,3,2,Poor,1,Average,Average,0,0,0,0,AI,Software Engineer
8.46,1,0,Average,3,Poor,Average,1,0,1,0,Cyber,Cybersecurity Analyst
7.54,4,1,Average,1,Poor,Average,1,1,1,0,Data,UI/UX Designer
7.86,0,1,Good,3,Average,Good,1,1,1,1,Web Dev,Data Scientist
7.71,6,1,Average,0,Excellent,Good,1,0,1,0,Web Dev,Data Scientist
8.05,2,0,Good,2,Average,Average,1,1,1,1,Data,Software Engineer
9.39,5,1,Excellent,2,Good,Good,0,1,1,0,UI/UX,Data Scientist
6.88,4,0,Average,2,Good,Poor,1,0,1,0,AI,ML Engineer
8.41,4,2,Good,2,Average,Average,0,0,0,1,AI,UI/UX Designer
7.03,2,0,Good,3,Good,Good,0,1,1,1,Web Dev,UI/UX Designer
7.72,4,2,Good,3,Average,Average,0,0,1,0,Web Dev,Data Scientist
8.65,0,0,Good,1,Poor,Excellent,0,1,0,0,Web Dev,Software Engineer
8.04,0,2,Average,3,Good,Average,0,1,0,1,Data,ML Engineer
7.35,2,1,Average,1,Poor,Good,0,0,0,1,UI/UX,Software Engineer
7.57,5,2,Average,1,Excellent,Average,0,0,1,1,AI,ML Engineer
8.41,3,1,Average,2,Average,Average,0,1,0,1,Cyber,Cybersecurity Analyst
7.56,1,1,Good,3,Good,Average,1,1,1,0,Data,Data Scientist
8.13,3,2,Poor,3,Average,Good,1,1,1,0,AI,Cybersecurity Analyst
8.03,4,0,Excellent,1,Poor,Good,0,1,1,0,UI/UX,Software Engineer
7.61,1,0,Good,1,Poor,Excellent,0,0,0,0,Data,ML Engineer
9.29,2,3,Average,0,Good,Average,0,1,0,0,AI,ML Engineer
8.38,2,0,Average,0,Good,Poor,1,0,1,1,Data,Cybersecurity Analyst
6.78,5,3,Excellent,1,Good,Average,1,0,1,1,AI,Data Scientist
8.11,1,0,Good,0,Average,Good,0,1,1,1,AI,Software Engineer
7.6,0,0,Good,0,Good,Excellent,0,0,0,0,UI/UX,Software Engineer
8.51,1,1,Average,1,Good,Average,1,0,1,1,Cyber,Cybersecurity Analyst
7.52,4,3,Average,1,Good,Good,1,1,0,0,UI/UX,UI/UX Designer
7.93,0,0,Poor,3,Average,Average,0,0,1,0,AI,UI/UX Designer
8.3,6,3,Average,1,Good,Good,0,0,0,0,Data,Cybersecurity Analyst
8.52,6,1,Good,1,Good,Excellent,0,1,1,1,UI/UX,Data Scientist
7.28,6,1,Good,2,Average,Average,0,1,0,0,Cyber,Cybersecurity Analyst
7.8,2,3,Good,3,Good,Average,1,1,0,0,AI,Software Engineer
7.72,1,1,Excellent,3,Good,Excellent,1,1,0,1,UI/UX,UI/UX Designer
7.61,6,2,Good,3,Average,Excellent,0,1,0,0,UI/UX,Software Engineer
9.06,3,2,Average,2,Poor,Good,0,1,0,1,UI/UX,ML Engineer
8.24,5,1,Average,1,Average,Good,0,1,0,0,UI/UX,Software Engineer
7.24,3,2,Excellent,3,Good,Average,1,0,1,1,Data,Data Scientist
8.55,6,0,Poor,3,Good,Good,0,0,1,0,Cyber,Cybersecurity Analyst
9.27,5,3,Excellent,0,Poor,Good,0,1,1,0,Cyber,Data Scientist
8.62,4,0,Good,3,Good,Good,0,0,1,1,AI,UI/UX Designer
7.09,3,3,Poor,1,Excellent,Average,1,0,0,0,Web Dev,UI/UX Designer
7.71,1,1,Good,1,Average,Average,0,1,1,1,Data,Data Scientist
8.76,1,0,Excellent,0,Excellent,Average,1,0,0,0,AI,ML Engineer
7.58,3,1,Good,3,Excellent,Average,0,1,0,1,AI,Software Engineer
8.27,6,1,Excellent,3,Good,Poor,0,0,0,0,UI/UX,Software Engineer
8.46,1,3,Excellent,3,Good,Average,0,1,1,0,Web Dev,Data Scientist
7.44,4,3,Average,2,Excellent,Poor,1,0,0,0,Web Dev,Cybersecurity Analyst
7.96,0,3,Average,3,Good,Average,0,0,1,1,Data,Data Scientist
6.06,6,0,Excellent,1,Average,Good,0,0,1,1,Web Dev,Software Engineer
7.39,4,2,Good,1,Good,Average,1,1,1,1,AI,Data Scientist
7.85,5,3,Poor,2,Good,Poor,1,0,1,1,Web Dev,ML Engineer
7.25,4,3,Poor,2,Good,Average,1,0,1,1,Web Dev,Software Engineer
8.98,6,0,Good,3,Average,Average,0,1,0,0,Cyber,Software Engineer
7.14,5,3,Excellent,0,Good,Good,1,1,0,0,AI,Cybersecurity Analyst
7.74,6,0,Good,2,Poor,Poor,0,0,1,0,Web Dev,UI/UX Designer
8.08,1,1,Good,2,Excellent,Good,1,0,0,0,Web Dev,Software Engineer
8.86,0,3,Poor,3,Average,Excellent,1,0,1,0,UI/UX,UI/UX Designer
7.14,6,3,Average,3,Poor,Good,1,0,0,1,Web Dev,ML Engineer
8.7,6,1,Excellent,2,Average,Good,0,1,0,0,Web Dev,Software Engineer
8.01,1,1,Average,0,Poor,Excellent,0,0,0,1,Cyber,ML Engineer
7.41,2,1,Average,2,Good,Good,0,0,0,0,AI,Data Scientist
8.28,1,3,Poor,3,Excellent,Poor,0,1,0,1,Data,Data Scientist
8.12,5,2,Good,3,Good,Average,0,0,0,1,AI,Cybersecurity Analyst
7.64,1,2,Excellent,2,Poor,Excellent,0,0,0,1,UI/UX,Software Engineer
8.04,1,2,Average,0,Poor,Average,0,0,0,0,AI,Data Scientist
7.77,0,3,Average,2,Good,Poor,0,1,0,0,Web Dev,Cybersecurity Analyst
8.07,1,1,Good,2,Excellent,Good,0,1,0,0,UI/UX,Software Engineer
8.4,6,3,Excellent,3,Average,Good,1,0,0,0,AI,ML Engineer
8.95,0,1,Poor,0,Average,Average,1,0,0,1,UI/UX,UI/UX Designer
7.26,3,3,Average,1,Average,Good,0,1,0,1,Data,Cybersecurity Analyst
9.28,2,3,Average,0,Excellent,Average,0,0,1,1,AI,UI/UX Designer
6.83,0,1,Excellent,2,Good,Good,0,0,0,1,Web Dev,UI/UX Designer
7.91,5,2,Average,2,Average,Average,0,1,0,0,UI/UX,UI/UX Designer
8.35,3,1,Poor,2,Average,Average,1,1,0,1,Cyber,Cybersecurity Analyst
8.17,0,0,Good,0,Excellent,Good,1,1,0,0,UI/UX,Software Engineer
7.63,0,0,Good,3,Poor,Average,0,0,0,1,Cyber,Cybersecurity Analyst
7.88,2,1,Poor,2,Average,Good,1,0,0,1,Web Dev,ML Engineer
7.7,6,3,Excellent,2,Good,Average,1,0,1,1,Data,Data Scientist
7.65,5,0,Average,0,Poor,Average,0,0,1,0,Cyber,UI/UX Designer
8.51,4,0,Good,1,Poor,Good,0,1,1,0,Data,Software Engineer
8.21,4,3,Average,1,Good,Average,0,0,0,1,UI/UX,Data Scientist
7.58,0,3,Good,3,Excellent,Average,0,0,0,1,Web Dev,Software Engineer
8.54,1,2,Average,3,Good,Average,1,1,0,1,Cyber,Cybersecurity Analyst
8.18,5,3,Excellent,2,Excellent,Good,0,1,1,0,UI/UX,Data Scientist
8.49,3,1,Good,0,Good,Excellent,1,0,0,0,AI,Software Engineer
8.38,1,1,Good,2,Good,Excellent,0,1,0,0,UI/UX,Software Engineer
7.5,1,2,Good,3,Average,Average,1,1,1,1,Data,Data Scientist
7.66,5,0,Good,0,Good,Average,0,0,1,0,Web Dev,ML Engineer
8.45,6,0,Poor,0,Excellent,Average,0,0,0,1,Web Dev,Cybersecurity Analyst
8.37,0,3,Average,3,Average,Good,1,0,0,0,UI/UX,Data Scientist
7.99,0,1,Excellent,1,Average,Average,1,0,0,1,AI,Cybersecurity Analyst
8.07,0,0,Poor,1,Average,Excellent,1,1,0,1,Data,Cybersecurity Analyst
8.77,0,2,Good,0,Poor,Average,0,1,1,0,UI/UX,Data Scientist
7.65,4,2,Excellent,2,Poor,Excellent,1,0,0,1,UI/UX,Cybersecurity Analyst
8.33,0,1,Poor,1,Good,Good,1,0,0,1,Web Dev,UI/UX Designer
7.88,4,2,Good,2,Excellent,Good,1,1,1,1,Data,Data Scientist
7.87,4,2,Average,1,Average,Average,1,0,0,0,AI,Software Engineer
8.66,6,1,Good,1,Poor,Poor,1,0,0,1,Web Dev,ML Engineer
8.5,0,3,Poor,2,Poor,Average,1,0,1,0,UI/UX,Data Scientist
8.49,2,3,Poor,3,Excellent,Average,1,0,1,0,Web Dev,Software Engineer
8.78,3,2,Good,1,Average,Poor,1,1,0,1,Web Dev,Software Engineer
8.01,1,3,Good,1,Average,Good,1,0,1,0,Cyber,Data Scientist
8.41,4,3,Good,2,Average,Average,0,1,1,1,Web Dev,Data Scientist
7.81,5,2,Good,3,Average,Good,0,0,0,0,Web Dev,Software Engineer
8.19,5,3,Poor,1,Average,Good,1,0,1,1,Data,ML Engineer
7.92,3,2,Good,1,Excellent,Poor,0,1,0,0,Web Dev,Software Engineer
8.06,5,0,Average,3,Good,Excellent,0,0,0,1,AI,UI/UX Designer
8.36,2,1,Excellent,1,Good,Average,1,1,0,1,UI/UX,Software Engineer
7.51,5,1,Good,3,Average,Average,1,0,0,1,Data,UI/UX Designer
9.26,1,3,Good,3,Good,Average,1,0,1,1,Web Dev,Data Scientist
7.4,1,3,Excellent,2,Good,Good,1,0,0,0,AI,Cybersecurity Analyst
7.27,4,3,Poor,0,Poor,Poor,1,0,0,0,UI/UX,Software Engineer
8.69,0,1,Good,3,Good,Average,1,0,0,1,Data,UI/UX Designer
8.47,6,0,Average,2,Average,Good,0,1,0,0,AI,Software Engineer
8.37,2,0,Excellent,0,Good,Average,1,1,1,1,Web Dev,Software Engineer
8.38,4,1,Average,1,Average,Good,0,0,1,1,Cyber,Cybersecurity Analyst
7.99,2,0,Good,0,Excellent,Excellent,1,0,1,0,Cyber,UI/UX Designer
7.46,0,1,Excellent,3,Poor,Excellent,1,1,0,0,Data,Data Scientist
8.05,5,0,Poor,3,Good,Poor,0,1,1,1,AI,UI/UX Designer
7.59,5,2,Average,3,Good,Average,1,0,1,0,UI/UX,ML Engineer
8.59,6,2,Good,3,Good,Average,1,0,0,1,AI,ML Engineer
